訂單編號,產品編號,供應商編號,序號,數量,總價
XKB-41924-202,L-D-0.5,S004,1,2,466
DWZ-69106-473,L-L-2.5,S005,1,4,4372
YHV-68700-050,R-M-0.5,S002,1,5,895
YHV-68700-050,L-L-2.5,S005,2,2,2186
KRB-88066-642,L-M-1,S004,1,5,2180
LQU-08404-173,L-L-1,S002,1,3,1425
CWK-60159-881,E-D-0.2,S004,1,3,327
EEG-74197-843,E-L-1,S003,1,4,1780
UCZ-59708-525,L-D-2.5,S005,1,3,2679
HUB-47311-849,L-M-0.5,S004,1,3,783
WYM-17686-694,A-D-2.5,S004,1,5,3430
ZYQ-15797-695,R-D-0.5,S005,1,5,805
EEJ-16185-108,L-L-0.2,S005,1,5,710
RWR-77888-800,A-M-0.5,S003,1,1,202
LHN-75209-742,R-M-0.5,S002,1,6,1074
TIR-71396-998,R-D-2.5,S001,1,4,2468
RXF-37618-213,R-L-0.5,S003,1,1,215
ANM-16388-634,L-L-0.2,S005,1,2,284
WYL-29300-070,R-M-0.2,S003,1,1,89
JHW-74554-805,R-M-1,S005,1,6,1788
KYS-27063-603,E-L-2.5,S005,1,4,4096
GAZ-58626-277,L-L-0.2,S005,1,2,284
RPJ-37787-335,A-M-2.5,S005,1,3,2328
LEF-83057-763,L-M-0.2,S002,1,5,650
RPW-36123-215,E-L-0.5,S001,1,2,534
WLL-59044-117,R-D-1,S005,1,6,1608
AWT-22827-563,R-L-0.2,S001,1,1,107
QLM-07145-668,E-D-0.2,S004,1,2,218
HVQ-64398-930,A-M-0.5,S003,1,6,1212
WRT-40778-247,R-L-1,S005,1,4,1432
SUB-13006-125,A-L-0.5,S004,1,5,1165
CQM-49696-263,L-L-2.5,S005,1,3,3279
KXN-85094-246,L-M-2.5,S002,1,3,3009
XOQ-12405-419,R-D-2.5,S001,1,4,2468
HYF-10254-369,L-L-0.5,S003,1,1,285
XXJ-47000-307,A-L-2.5,S003,1,3,2679
XXJ-47000-307,A-D-0.2,S002,2,4,356
ZDK-82166-357,A-M-1,S002,1,3,1011
IHN-19982-362,R-L-1,S005,1,3,1074
VMT-10030-889,A-L-1,S004,1,6,2328
NHL-11063-100,A-L-1,S004,1,4,1552
ROV-87448-086,A-M-2.5,S005,1,4,3104
DGY-35773-612,E-L-1,S003,1,3,1335
YWH-50638-556,E-L-0.5,S001,1,4,1068
ISL-11200-600,A-D-0.2,S002,1,6,534
LBZ-75997-047,A-M-2.5,S005,1,6,4656
EUH-08089-954,A-D-0.2,S002,1,2,178
BLD-12227-251,A-M-0.5,S003,1,2,404
OPY-30711-853,A-D-0.2,S002,1,1,89
DBC-44122-300,L-M-0.2,S002,1,3,390
FJQ-60035-234,A-L-0.2,S003,1,2,232
HSF-66926-425,L-D-2.5,S005,1,5,4465
LQG-41416-375,L-D-1,S001,1,3,1164
VZO-97265-841,R-M-0.2,S003,1,4,356
MOR-12987-399,L-M-1,S004,1,6,2616
UOA-23786-489,A-M-0.5,S003,1,6,1212
AJL-52941-018,E-D-1,S001,1,2,728
XSZ-84273-421,R-M-0.5,S002,1,3,537
NUN-48214-216,A-M-0.5,S003,1,4,808
AKV-93064-769,L-D-0.5,S004,1,1,233
BRB-40903-533,E-L-0.2,S003,1,3,399
GPR-19973-483,R-D-0.5,S005,1,5,805
XIY-43041-882,A-M-1,S002,1,1,337
YGY-98425-969,L-M-1,S004,1,1,436
MSB-08397-648,R-L-0.2,S001,1,4,428
WDR-06028-345,L-L-1,S002,1,1,475
MXM-42948-061,L-L-0.2,S005,1,4,568
MGQ-98961-173,L-L-0.5,S003,1,4,1140
RFH-64349-897,E-D-0.5,S005,1,3,654
TKL-20738-660,E-M-0.2,S002,1,1,123
TKL-20738-660,A-L-0.2,S003,2,1,116
TKL-20738-660,E-M-1,S005,3,5,2060
GOW-03198-575,A-D-0.5,S004,1,4,716
QJB-90477-635,L-L-2.5,S005,1,4,4372
MWP-46239-785,L-M-0.2,S002,1,5,650
QDV-03406-248,L-M-0.5,S004,1,3,783
GPH-40635-105,A-M-1,S002,1,1,337
JOM-80930-071,L-D-1,S001,1,6,2328
OIL-26493-755,A-M-0.5,S003,1,1,202
CYV-13426-645,E-D-1,S001,1,1,364
WRP-39846-614,A-L-2.5,S003,1,5,4465
VDZ-76673-968,E-D-0.5,S005,1,2,436
VTV-03546-175,A-L-2.5,S003,1,5,4465
GHR-72274-715,L-D-1,S001,1,1,388
ZGK-97262-313,E-M-2.5,S004,1,3,2844
ZFS-30776-804,A-L-0.5,S004,1,5,1165
QUU-91729-492,A-D-0.2,S002,1,4,356
PVI-72795-960,E-L-2.5,S005,1,3,3072
PPP-78935-365,E-D-1,S001,1,4,1456
JUO-34131-517,L-D-1,S001,1,6,2328
ZJE-89333-489,L-D-2.5,S005,1,1,893
LOO-35324-159,A-L-0.2,S003,1,4,464
JBQ-93412-846,E-L-2.5,S005,1,4,4096
EHX-66333-637,L-M-0.5,S004,1,2,522
WXG-25759-236,E-L-2.5,S005,1,2,2048
QNA-31113-984,L-M-0.2,S002,1,4,520
ZWI-52029-159,L-M-1,S004,1,3,1308
ZWI-52029-159,E-M-1,S005,2,2,824
DFS-49954-707,E-D-0.2,S004,1,5,545
VYP-89830-878,A-M-2.5,S005,1,2,1552
AMT-40418-362,L-D-1,S001,1,1,388
NFQ-23241-793,A-M-1,S002,1,3,1011
JQK-64922-985,R-M-2.5,S002,1,3,2058
YET-17732-678,R-D-0.2,S003,1,1,80
NKW-24945-846,A-D-2.5,S004,1,5,3430
VKA-82720-513,A-M-2.5,S005,1,6,4656
THA-60599-417,A-M-2.5,S005,1,3,2328
MEK-39769-035,R-D-2.5,S001,1,3,1851
JAF-18294-750,R-D-2.5,S001,1,6,3702
TME-59627-221,L-L-2.5,S005,1,6,6558
UDG-65353-824,E-M-0.5,S003,1,4,988
ENQ-42923-176,A-L-0.5,S004,1,3,699
CBT-55781-720,E-D-0.5,S005,1,3,654
NEU-86533-016,R-D-0.2,S003,1,6,480
BYU-58154-603,E-D-0.5,S005,1,4,872
EHJ-05910-257,R-D-1,S005,1,6,1608
EIL-44855-309,R-D-0.5,S005,1,5,805
HCA-87224-420,E-M-0.5,S003,1,5,1235
ABO-29054-365,A-M-0.5,S003,1,6,1212
TKN-58485-031,R-D-1,S005,1,2,536
RCK-04069-371,E-L-2.5,S005,1,2,2048
IRJ-67095-738,E-M-2.5,S004,1,2,1896
VEA-31961-977,E-D-0.5,S005,1,3,654
BAF-42286-205,R-M-2.5,S002,1,4,2744
WOR-52762-511,E-L-2.5,S005,1,6,6144
ZWK-03995-815,E-M-2.5,S004,1,2,1896
CKF-43291-846,E-L-2.5,S005,1,1,1024
RMW-74160-339,R-L-2.5,S005,1,4,3296
FMT-94584-786,A-L-1,S004,1,2,776
NWT-78222-575,A-D-0.2,S002,1,1,89
EOI-02511-919,E-L-0.2,S003,1,5,665
EOI-02511-919,A-D-0.5,S004,2,5,895
UCT-03935-589,R-D-0.5,S005,1,6,966
SBI-60013-494,E-M-0.2,S002,1,2,246
QRA-73277-814,A-L-0.5,S004,1,4,932
EQE-31648-909,E-D-0.5,S005,1,5,1090
QOO-24615-950,R-M-2.5,S002,1,3,2058
WDV-73864-037,L-M-0.5,S004,1,5,1305
PKR-88575-066,E-L-0.2,S003,1,1,133
BWR-85735-955,L-M-1,S004,1,3,1308
YFX-64795-136,L-M-2.5,S002,1,1,1003
DDO-71442-967,L-D-0.2,S002,1,5,580
ILQ-11027-588,E-D-1,S001,1,6,2184
KRZ-13868-122,E-L-1,S003,1,3,1335
VRM-93594-914,E-D-0.5,S005,1,5,1090
HXL-22497-359,A-L-1,S004,1,3,1164
NOP-21394-646,E-L-0.5,S001,1,6,1602
NOP-21394-646,L-D-2.5,S005,2,2,1786
NOP-21394-646,L-D-2.5,S005,3,3,2679
NOP-21394-646,L-L-0.5,S003,4,4,1140
NOP-21394-646,E-M-1,S005,5,3,1236
FTV-77095-168,L-L-0.5,S003,1,6,1710
BOR-02906-411,L-D-2.5,S005,1,6,5358
WMP-68847-770,L-L-0.2,S005,1,1,142
TMO-22785-872,E-M-1,S005,1,6,2472
TJG-73587-353,R-D-0.2,S003,1,3,240
OOU-61343-455,A-M-1,S002,1,2,674
RMA-08327-369,A-M-0.5,S003,1,6,1212
SFB-97929-779,E-D-0.5,S005,1,4,872
AUP-10128-606,A-M-0.5,S003,1,1,202
YTW-40242-005,L-D-1,S001,1,4,1552
PRP-53390-819,E-L-0.5,S001,1,6,1602
GSJ-01065-125,E-D-0.2,S004,1,4,436
YQU-65147-580,R-D-2.5,S001,1,1,617
QPM-95832-683,L-L-1,S002,1,2,950
BNQ-88920-567,L-D-0.2,S002,1,6,696
PUX-47906-110,L-M-1,S004,1,4,1744
COL-72079-610,E-L-0.5,S001,1,4,1068
LBC-45686-819,A-M-1,S002,1,5,1685
BLQ-03709-265,R-L-0.2,S001,1,3,321
BLQ-03709-265,R-M-0.2,S003,2,5,445
VFZ-91673-181,A-L-1,S004,1,6,2328
WKD-81956-870,L-D-0.5,S004,1,3,699
TNI-91067-006,E-L-1,S003,1,4,1780
IZA-61469-812,L-D-2.5,S005,1,4,3572
PSS-22466-862,R-L-0.2,S001,1,4,428
REH-56504-397,A-M-2.5,S005,1,5,3880
ALA-62598-016,R-D-0.2,S003,1,6,480
EYE-70374-835,R-L-0.2,S001,1,5,535
CCZ-19589-212,L-M-0.2,S002,1,2,260
BPT-83989-157,A-M-2.5,S005,1,2,1552
YFH-87456-208,L-M-0.2,S002,1,2,260
JLN-14700-924,L-L-0.2,S005,1,5,710
JVW-22582-137,E-M-0.2,S002,1,5,615
LAA-41879-001,L-L-2.5,S005,1,1,1093
BRV-64870-915,L-L-2.5,S005,1,5,5465
RGJ-12544-083,L-D-2.5,S005,1,3,2679
JJX-83339-346,R-L-0.2,S001,1,1,107
BIU-21970-705,R-M-2.5,S002,1,2,1372
ELJ-87741-745,E-L-1,S003,1,4,1780
SGI-48226-857,A-M-2.5,S005,1,6,4656
AHV-66988-037,R-M-2.5,S002,1,2,1372
ISK-42066-094,E-D-1,S001,1,3,1092
FTC-35822-530,E-D-0.5,S005,1,4,872
VSS-56247-688,L-M-2.5,S002,1,4,4012
HVW-25584-144,L-L-0.2,S005,1,5,710
MUY-15309-209,L-D-1,S001,1,3,1164
VAJ-44572-469,R-L-0.2,S001,1,6,642
YJU-84377-606,A-D-1,S003,1,1,298
VNC-93921-469,L-L-1,S002,1,1,475
OGB-91614-810,R-M-0.2,S003,1,1,89
BQI-61647-496,E-M-1,S005,1,5,2060
IOM-51636-823,A-D-1,S003,1,3,894
GGD-38107-641,L-M-1,S004,1,4,1744
LTO-95975-728,R-L-0.5,S003,1,4,860
IGM-84664-265,R-L-0.5,S003,1,3,645
SKO-45740-621,L-M-0.5,S004,1,2,522
FOJ-02234-063,E-D-2.5,S002,1,1,838
MSJ-11909-468,E-D-2.5,S002,1,5,4190
DKB-78053-329,R-M-0.2,S003,1,2,178
DFZ-45083-941,R-L-2.5,S005,1,1,824
OTA-40969-710,R-L-1,S005,1,5,1790
GRH-45571-667,E-M-1,S005,1,3,1236
NXV-05302-067,L-M-2.5,S002,1,4,4012
VZH-86274-142,R-L-1,S005,1,5,1790
KIX-93248-135,A-D-0.5,S004,1,1,179
AXR-10962-010,E-D-1,S001,1,2,728
IHS-71573-008,E-D-0.2,S004,1,6,654
QTR-19001-114,A-D-1,S003,1,2,596
WBK-62297-910,A-D-0.2,S002,1,2,178
OGY-19377-175,E-D-0.5,S005,1,1,218
ESR-66651-814,A-D-0.2,S002,1,4,356
CPX-46916-770,R-L-1,S005,1,6,2148
MDC-03318-645,A-L-0.2,S003,1,2,232
SFF-86059-407,A-M-2.5,S005,1,1,776
SCL-94540-788,E-L-2.5,S005,1,6,6144
HVU-21634-076,R-L-2.5,S005,1,4,3296
XUS-73326-418,E-L-1,S003,1,6,2670
XWD-18933-006,A-L-0.2,S003,1,2,232
HPD-65272-772,L-M-2.5,S002,1,1,1003
JEG-93140-224,E-M-0.5,S003,1,5,1235
NNH-62058-950,E-L-1,S003,1,4,1780
LTD-71429-845,A-L-0.5,S004,1,1,233
MPV-26985-215,R-D-0.5,S005,1,1,161
IYO-10245-081,E-M-2.5,S004,1,3,2844
BYZ-39669-954,L-L-2.5,S005,1,1,1093
EFB-72860-209,A-M-0.2,S005,1,4,404
GMM-72397-378,R-L-0.2,S001,1,4,428
LYP-52345-883,E-M-0.5,S003,1,1,247
DFK-35846-692,R-D-0.2,S003,1,5,400
XAH-93337-609,A-D-1,S003,1,5,1490
QKA-72582-644,E-M-0.5,S003,1,2,494
ZDK-84567-102,A-D-0.5,S004,1,3,537
WAV-38301-984,A-D-0.5,S004,1,5,895
KZR-33023-209,E-L-1,S003,1,3,1335
ULM-49433-003,E-M-1,S005,1,2,824
SIB-83254-136,R-M-0.5,S002,1,6,1074
NOK-50349-551,R-D-0.5,S005,1,3,483
YIS-96268-844,E-L-0.2,S003,1,6,798
CXI-04933-855,E-L-2.5,S005,1,6,6144
IZU-90429-382,A-L-1,S004,1,3,1164
WIT-40912-783,L-D-0.2,S002,1,4,464
PSD-57291-590,A-M-0.5,S003,1,1,202
GOI-41472-677,E-D-2.5,S002,1,4,3352
KTX-17944-494,A-L-0.2,S003,1,1,116
RDM-99811-230,L-M-0.2,S002,1,5,650
JTU-55897-581,R-M-0.2,S003,1,5,445
CRK-07584-240,A-M-1,S002,1,3,1011
MKE-75518-399,A-M-1,S002,1,3,1011
AEL-51169-725,L-M-0.2,S002,1,6,780
ZGM-83108-823,E-L-1,S003,1,1,445
JBP-78754-392,E-M-2.5,S004,1,6,5688
RNH-54912-747,R-M-0.5,S002,1,1,179
JDS-33440-914,R-M-1,S005,1,3,894
SYX-48878-182,R-D-1,S005,1,5,1340
ZGD-94763-868,E-L-2.5,S005,1,1,1024
CZY-70361-485,E-L-2.5,S005,1,6,6144
RJR-12175-899,E-D-0.5,S005,1,3,654
ELB-07929-407,A-M-2.5,S005,1,2,1552
UJQ-54441-340,E-M-0.2,S002,1,2,246
UJQ-54441-340,A-L-0.2,S003,2,5,580
OWY-43108-475,A-M-0.2,S005,1,6,606
GNO-91911-159,L-D-0.5,S004,1,3,699
CNY-06284-066,E-D-0.2,S004,1,5,545
OQS-46321-904,E-M-1,S005,1,1,412
IBW-87442-480,A-L-2.5,S003,1,1,893
DGZ-82537-477,R-D-1,S005,1,5,1340
LPS-39089-432,R-D-1,S005,1,5,1340
MQU-86100-929,L-L-0.5,S003,1,4,1140
XUR-14132-391,R-D-0.5,S005,1,4,644
OVI-27064-381,R-D-0.5,S005,1,3,483
SHP-17012-870,R-M-2.5,S002,1,1,686
FDY-03414-903,A-D-0.5,S004,1,3,537
WXT-85291-143,R-M-0.5,S002,1,4,716
QNP-18893-547,R-L-1,S005,1,5,1790
DOH-92927-530,L-L-0.2,S005,1,6,852
HGJ-82768-173,A-M-1,S002,1,4,1348
YPT-95383-088,E-D-2.5,S002,1,2,1676
OYH-16533-767,E-L-1,S003,1,4,1780
DWW-28642-549,E-D-0.2,S004,1,2,218
CGO-79583-871,E-D-0.5,S005,1,1,218
TFY-52090-386,E-L-0.5,S001,1,2,534
TFY-52090-386,L-D-0.5,S004,2,5,1165
NYY-73968-094,R-D-0.5,S005,1,6,966
QEY-71761-460,R-M-1,S005,1,2,596
GKQ-82603-910,R-L-1,S005,1,5,1790
IOB-32673-745,A-L-0.5,S004,1,3,699
YAU-98893-150,L-M-1,S004,1,3,1308
XNM-14163-951,E-L-2.5,S005,1,6,6144
JPB-45297-000,R-L-0.2,S001,1,4,428
MOU-74341-266,A-D-0.5,S004,1,4,716
DHJ-87461-571,A-M-1,S002,1,2,674
DKM-97676-850,E-D-0.5,S005,1,5,1090
UEB-09112-118,A-M-0.5,S003,1,4,808
ORZ-67699-748,A-M-2.5,S005,1,6,4656
JXP-28398-485,A-D-2.5,S004,1,5,3430
WWH-92259-198,L-D-1,S001,1,4,1552
FLR-82914-153,A-M-2.5,S005,1,6,4656
AMB-93600-000,A-L-2.5,S003,1,1,893
FEP-36895-658,R-L-0.2,S001,1,6,642
RXW-91413-276,R-D-2.5,S001,1,2,1234
RXW-91413-276,R-M-0.5,S002,2,1,179
SDB-77492-188,E-L-1,S003,1,5,2225
RZN-65182-395,L-M-1,S004,1,6,2616
HDQ-86094-507,E-D-1,S001,1,6,2184
YXO-79631-417,L-D-0.5,S004,1,1,233
SNF-57032-096,E-D-0.5,S005,1,6,1308
DGL-29648-995,L-M-0.2,S002,1,2,260
GPU-65651-504,E-M-2.5,S004,1,2,1896
OJU-34452-896,E-L-0.5,S001,1,1,267
GZS-50547-887,E-D-1,S001,1,2,728
ESR-54041-053,A-L-0.5,S004,1,6,1398
OGD-10781-526,R-L-0.5,S003,1,6,1290
FVH-29271-315,A-D-0.5,S004,1,3,537
BNZ-20544-633,L-L-0.5,S003,1,4,1140
FUX-85791-078,A-M-0.2,S005,1,2,202
YXP-20078-116,R-M-0.5,S002,1,1,179
VQV-59984-866,R-D-0.2,S003,1,3,240
JEH-37276-048,A-L-0.5,S004,1,3,699
VYD-28555-589,R-L-0.5,S003,1,6,1290
WUG-76466-650,L-D-0.5,S004,1,3,699
RJV-08261-583,A-D-0.2,S002,1,5,445
PMR-56062-609,E-D-0.5,S005,1,3,654
XLD-12920-505,E-L-0.5,S001,1,6,1602
UBW-50312-037,A-L-2.5,S003,1,4,3572
QAW-05889-019,L-M-0.5,S004,1,5,1305
EPT-12715-397,A-D-0.2,S002,1,6,534
DHT-93810-053,E-L-1,S003,1,5,2225
DMY-96037-963,L-D-0.2,S002,1,3,348
MBM-55936-917,L-D-0.5,S004,1,3,699
TPA-93614-840,E-D-0.5,S005,1,2,436
WDM-77521-710,A-M-0.5,S003,1,2,404
EIP-19142-462,E-L-1,S003,1,6,2670
EIP-19142-462,A-L-0.2,S003,2,1,116
ZZL-76364-387,R-L-2.5,S005,1,4,3296
GMF-18638-786,L-D-0.5,S004,1,6,1398
TDJ-20844-787,A-L-0.5,S004,1,5,1165
BWK-39400-446,L-D-0.5,S004,1,4,932
LCB-02099-995,A-D-0.2,S002,1,6,534
UBA-43678-174,E-D-2.5,S002,1,6,5028
UDH-24280-432,L-L-1,S002,1,4,1900
IDQ-20193-502,L-M-0.2,S002,1,2,260
DJG-14442-608,R-D-1,S005,1,3,804
DWB-61381-370,L-L-0.2,S005,1,2,284
FRD-17347-990,A-D-1,S003,1,4,1192
YPP-27450-525,E-M-0.5,S003,1,3,741
EFC-39577-424,E-M-1,S005,1,5,2060
LAW-80062-016,E-M-0.5,S003,1,6,1482
WKL-27981-758,A-M-2.5,S005,1,2,1552
VRT-39834-265,L-L-1,S002,1,3,1425
QTC-71005-730,A-L-0.2,S003,1,4,464
TNX-09857-717,L-M-1,S004,1,6,2616
JZV-43874-185,A-M-1,S002,1,5,1685
ICF-17486-106,L-L-2.5,S005,1,1,1093
BMK-49520-383,R-L-0.2,S001,1,3,321
HTS-15020-632,R-M-0.2,S003,1,3,267
YLE-18247-749,A-L-0.5,S004,1,3,699
KJJ-12573-591,A-L-2.5,S003,1,1,893
RGU-43561-950,A-L-2.5,S003,1,5,4465
JSN-73975-443,L-M-0.5,S004,1,1,261
WNR-71736-993,L-D-0.5,S004,1,4,932
WNR-71736-993,A-D-2.5,S004,2,6,4116
HNI-91338-546,A-D-0.5,S004,1,5,895
CYH-53243-218,R-M-0.5,S002,1,3,537
SVD-75407-177,E-L-0.5,S001,1,3,801
NVN-66443-451,R-D-1,S005,1,2,536
JUA-13580-095,R-L-0.2,S001,1,4,428
ACY-56225-839,A-M-2.5,S005,1,3,2328
QBB-07903-622,R-L-1,S005,1,5,1790
JLJ-81802-619,A-L-1,S004,1,6,2328
HFT-77191-168,R-D-0.2,S003,1,2,160
SZR-35951-530,E-D-2.5,S002,1,3,2514
IKL-95976-565,A-M-1,S002,1,2,674
XEY-48929-474,L-M-2.5,S002,1,6,6018
SQT-07286-736,A-M-1,S002,1,6,2022
QDU-45390-361,E-M-0.5,S003,1,1,247
RUJ-30649-712,L-L-0.2,S005,1,2,284
WSV-49732-075,L-D-2.5,S005,1,1,893
VJF-46305-323,L-D-0.5,S004,1,2,466
CXD-74176-600,E-L-0.5,S001,1,4,1068
ADX-50674-975,A-M-2.5,S005,1,4,3104
RRP-51647-420,E-D-1,S001,1,3,1092
PKJ-99134-523,R-L-0.5,S003,1,5,1075
FZQ-29439-457,E-L-0.2,S003,1,5,665
USN-68115-161,E-M-0.2,S002,1,6,738
IXU-20263-532,L-M-2.5,S002,1,2,2006
CBT-15092-420,L-M-0.5,S004,1,1,261
PKQ-46841-696,R-M-0.5,S002,1,3,537
XDU-05471-219,R-L-0.5,S003,1,1,215
NID-20149-329,R-D-0.2,S003,1,2,160
SVU-27222-213,L-L-0.2,S005,1,5,710
RWI-84131-848,R-D-2.5,S001,1,2,1234
GUU-40666-525,A-L-0.2,S003,1,3,348
SCN-51395-066,L-L-0.5,S003,1,4,1140
ULA-24644-321,R-D-2.5,S001,1,4,2468
EOL-92666-762,L-L-0.2,S005,1,2,284
AJV-18231-334,R-D-2.5,S001,1,2,1234
ZQI-47236-301,L-L-0.5,S003,1,5,1425
ZCR-15721-658,A-M-1,S002,1,4,1348
QEW-47945-682,L-L-0.2,S005,1,5,710
PSY-45485-542,R-D-0.5,S005,1,3,483
BAQ-74241-156,R-D-0.2,S003,1,4,320
BVU-77367-451,A-D-1,S003,1,5,1490
TJE-91516-344,E-M-1,S005,1,2,824
LIS-96202-702,L-D-2.5,S005,1,4,3572
VIO-27668-766,R-D-2.5,S001,1,1,617
ZVG-20473-043,A-D-0.2,S002,1,3,267
KGZ-56395-231,A-D-0.5,S004,1,1,179
CUU-92244-729,E-M-1,S005,1,3,1236
EHE-94714-312,E-L-0.2,S003,1,5,665
RTL-16205-161,A-M-0.5,S003,1,1,202
GTS-22482-014,L-M-2.5,S002,1,4,4012
DYG-25473-881,A-D-0.2,S002,1,2,178
HTR-21838-286,A-L-1,S004,1,2,776
KYG-28296-920,E-M-2.5,S004,1,1,948
NNB-20459-430,L-M-0.2,S002,1,2,260
FEK-14025-351,E-L-0.2,S003,1,6,798
AWH-16980-469,L-M-0.2,S002,1,6,780
ZPW-31329-741,R-D-1,S005,1,6,1608
ZPW-31329-741,E-M-2.5,S004,2,4,3792
ZPW-31329-741,E-M-0.2,S002,3,1,123
UBI-83843-396,R-L-1,S005,1,2,716
VID-40587-569,E-D-2.5,S002,1,5,4190
KBB-52530-416,L-D-2.5,S005,1,2,1786
ISJ-48676-420,L-L-0.5,S003,1,6,1710
MIF-17920-768,R-L-0.2,S001,1,6,642
CPX-19312-088,L-M-0.5,S004,1,6,1566
RXI-67978-260,E-D-1,S001,1,6,2184
LKE-14821-285,R-M-0.2,S003,1,5,445
LRK-97117-150,L-L-1,S002,1,6,2850
IGK-51227-573,L-D-0.5,S004,1,2,466
ZAY-43009-775,L-D-0.2,S002,1,6,696
EMA-63190-618,E-M-0.2,S002,1,1,123
FBI-35855-418,R-M-0.5,S002,1,6,1074
TXB-80533-417,L-L-1,S002,1,2,950
MBM-00112-248,L-L-1,S002,1,5,2375
EUO-69145-988,E-D-0.2,S004,1,3,327
GYA-80327-368,A-D-1,S003,1,4,1192
TNW-41601-420,R-M-1,S005,1,5,1490
ALR-62963-723,R-D-0.2,S003,1,3,240
JIG-27636-870,R-L-1,S005,1,4,1432
CTE-31437-326,R-M-0.2,S003,1,4,356
CTE-31437-326,E-M-0.2,S002,2,4,492
CTE-31437-326,L-D-1,S001,3,4,1552
CTE-31437-326,L-L-0.2,S005,4,3,426
SLD-63003-334,L-M-0.2,S002,1,6,780
BXN-64230-789,A-L-1,S004,1,2,776
XEE-37895-169,A-L-2.5,S003,1,3,2679
ZTX-80764-911,L-D-0.5,S004,1,6,1398
WVT-88135-549,A-D-1,S003,1,3,894
IPA-94170-889,R-L-0.2,S001,1,3,321
YQL-63755-365,A-M-0.2,S005,1,4,404
RKW-81145-984,L-L-1,S002,1,3,1425
MBT-23379-866,L-L-1,S002,1,5,2375
GEJ-39834-935,L-M-0.2,S002,1,6,780
KRW-91640-596,R-L-0.5,S003,1,3,645
AOT-70449-651,R-D-2.5,S001,1,5,3085
DGC-21813-731,L-D-0.2,S002,1,2,232
JBE-92943-643,E-D-2.5,S002,1,5,4190
ZIL-34948-499,A-D-0.5,S004,1,2,358
JSU-23781-256,L-D-0.2,S002,1,1,116
JSU-23781-256,R-M-1,S005,2,4,1192
VPX-44956-367,R-M-0.5,S002,1,5,895
VTB-46451-959,L-D-2.5,S005,1,1,893
DNZ-11665-950,L-L-2.5,S005,1,2,2186
ITR-54735-364,R-D-0.2,S003,1,5,400
YDS-02797-307,E-M-2.5,S004,1,4,3792
BPG-68988-842,E-M-0.5,S003,1,5,1235
XZG-51938-658,E-L-0.5,S001,1,6,1602
KAR-24978-271,R-M-1,S005,1,6,1788
FQK-28730-361,R-M-1,S005,1,6,1788
BGB-67996-089,R-D-1,S005,1,5,1340
XMC-20620-809,E-M-0.5,S003,1,2,494
ZSO-58292-191,R-D-0.5,S005,1,4,644
